path,mcc,avg_code_churn,rloc,number_of_commits,churn_lines,hotspot_score,stability_risk
.agents/scripts/lib/execution_commands.py,153.0,573.0,521.0,1.0,573.0,87669.0,548603.4598
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-tools.py,127.0,549.0,424.0,1.0,549.0,69723.0,421969.8131
.agents/skills/writing-skills/scripts/check-skill.js,121.0,521.0,453.0,1.0,521.0,63041.0,385690.9655
.agents/scripts/verify-tasks.py,250.0,218.0,904.0,6.0,1308.0,54500.0,371032.4544
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-wb-update.py,89.0,504.0,396.0,1.0,504.0,44856.0,268415.4458
.agents/scripts/agents-telemetry.py,170.0,245.6,591.0,5.0,1228.0,41752.0,266524.169
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-structure-map.py,85.0,507.0,378.0,1.0,507.0,43095.0,255878.1228
.agents/skills/writing-skills/scripts/skill-advisor.js,78.0,462.0,415.0,1.0,462.0,36036.0,217321.774
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-lint-docs.py,91.0,415.0,303.0,1.0,415.0,37765.0,215903.5511
.agents/scripts/agents-skills-sync.py,178.0,183.5,571.0,2.0,367.0,32663.0,207381.9269
.agents/skills/writing-skills/scripts/fix-skill.js,90.0,384.0,328.0,1.0,384.0,34560.0,200311.7559
.agents/skills/writing-skills/scripts/create-skill.js,44.0,693.0,622.0,1.0,693.0,30492.0,196202.1925
.agents/scripts/agents-new.py,142.0,139.25,581.0,8.0,1114.0,19773.5,125887.4034
.agents/scripts/agents-wb-update.py,141.0,134.1667,602.0,6.0,805.0,18917.5047,121108.2987
.agents/scripts/agents-tools.py,132.0,149.2,465.0,5.0,746.0,19694.4,121006.0496
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-doctor.py,62.0,344.0,247.0,1.0,344.0,21328.0,117590.4083
.agents/scripts/agents-doctor.py,107.0,153.1667,525.0,6.0,919.0,16388.8369,102680.9997
.agents/scripts/agents-knowledge.py,62.0,286.0,233.0,1.0,286.0,17732.0,96733.754
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-bootstrap.py,59.0,292.0,237.0,1.0,292.0,17228.0,94276.2792
.agents/scripts/agents-structure-map.py,85.0,161.0,377.0,4.0,644.0,13685.0,81219.0271
.agents/skills/writing-skills/scripts/check-universal-skills-sync.js,43.0,336.0,275.0,1.0,336.0,14448.0,81203.5517
.agents/scripts/agents-update/swap.py,47.0,298.0,166.0,1.0,298.0,14006.0,71682.6213
.agents/scripts/agents-update/agents-update.py,73.0,159.4,462.0,5.0,797.0,11636.2,71419.8195
.agents/scripts/agents-patterns.py,81.0,148.5,291.0,4.0,594.0,12028.5,68282.8331
.agents/scripts/agents-update/conflict.py,55.0,213.5,297.0,2.0,427.0,11742.5,66898.1203
.agents/scripts/check-links.py,65.0,173.3333,256.0,3.0,520.0,11266.6645,62519.5785
.agents/scripts/agents-bootstrap.py,104.0,87.4,816.0,5.0,437.0,9089.6,60951.5771
.agents/scripts/agents-lint-docs.py,105.0,86.1111,351.0,9.0,775.0,9041.6655,53016.9917
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-index.py,43.0,233.0,163.0,1.0,233.0,10019.0,51095.5617
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/verify-tasks.py,37.0,264.0,184.0,1.0,264.0,9768.0,50992.4357
.agents/scripts/agents-update/backup.py,42.0,204.5,267.0,2.0,409.0,8589.0,48020.9872
.agents/scripts/agents-update/ownership.py,32.0,271.0,178.0,1.0,271.0,8672.0,44985.0097
.agents/scripts/agents-revert.py,39.0,212.0,163.0,1.0,212.0,8268.0,42165.6956
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-new.py,29.0,256.0,176.0,1.0,256.0,7424.0,38427.7356
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/sync-agent-docs.py,32.0,227.0,147.0,1.0,227.0,7264.0,36299.75
.agents/scripts/agents-update/manifest.py,42.0,155.5,206.0,2.0,311.0,6531.0,34827.9864
.agents/skills/writing-skills/scripts/sync-skill.sh,28.0,234.0,171.0,1.0,234.0,6552.0,33726.3838
.agents/scripts/tests/test_verify_tasks_strict.py,16.0,310.3333,759.0,3.0,931.0,4965.3328,32936.6336
.agents/scripts/agents-update/upstream.py,49.0,124.0,207.0,3.0,372.0,6076.0,32430.8814
.agents/scripts/agents-session.py,29.0,199.0,144.0,1.0,199.0,5771.0,28720.7304
.agents/scripts/fix-lint-all.py,48.0,112.6667,183.0,3.0,338.0,5408.0016,28202.3809
.agents/scripts/tests/integration/test_critical_workflows.py,26.0,193.3333,189.0,3.0,580.0,5026.6658,26375.0365
.agents/scripts/agents-review.py,36.0,139.0,130.0,1.0,139.0,5004.0,24395.4874
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/lib/agents_config.py,31.0,157.0,129.0,1.0,157.0,4867.0,23690.2902
.agents/scripts/agents-implement.py,25.0,178.0,137.0,1.0,178.0,4450.0,21926.2789
.agents/scripts/agents-status.py,25.0,159.0,132.0,1.0,159.0,3975.0,19439.1378
.agents/scripts/agents-index.py,47.0,79.75,165.0,4.0,319.0,3748.25,19161.0082
.agents/scripts/agents-update/lock.py,27.0,139.0,156.0,2.0,278.0,3753.0,18976.0905
.agents/scripts/tests/conftest.py,27.0,127.3333,223.0,3.0,382.0,3437.9991,18605.2343
.agents/scripts/agents-fix-symlinks.py,44.0,79.0,183.0,3.0,237.0,3476.0,18127.1167
