path,mcc,avg_code_churn,rloc,number_of_commits,churn_lines,hotspot_score,stability_risk
.agents/scripts/agents-skills-sync.py,357.0,367.6667,1076.0,3.0,1103.0,131257.0119,916427.883
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-tools.py,127.0,549.0,424.0,1.0,549.0,69723.0,421969.8131
.agents/scripts/verify-tasks.py,250.0,201.4286,904.0,7.0,1410.0,50357.15,342828.2012
.agents/scripts/lib/execution_commands.py,153.0,337.5,521.0,2.0,675.0,51637.5,323130.3101
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-wb-update.py,89.0,504.0,396.0,1.0,504.0,44856.0,268415.4458
.agents/scripts/agents-telemetry.py,170.0,245.6,591.0,5.0,1228.0,41752.0,266524.169
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-structure-map.py,85.0,507.0,378.0,1.0,507.0,43095.0,255878.1228
.agents/skills/writing-skills/scripts/skill-advisor.js,78.0,462.0,415.0,1.0,462.0,36036.0,217321.774
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-lint-docs.py,91.0,415.0,303.0,1.0,415.0,37765.0,215903.5511
.agents/skills/writing-skills/scripts/check-tier-migration.js,75.0,477.0,385.0,1.0,477.0,35775.0,213070.0819
.agents/skills/writing-skills/scripts/run_eval.py,65.0,537.0,406.0,1.0,537.0,34905.0,209737.6242
.agents/skills/writing-skills/scripts/fix-skill.js,90.0,384.0,328.0,1.0,384.0,34560.0,200311.7559
.agents/skills/writing-skills/scripts/check-skill.js,121.0,268.5,453.0,2.0,537.0,32488.5,198767.8008
.agents/skills/writing-skills/scripts/create-skill.js,44.0,693.0,622.0,1.0,693.0,30492.0,196202.1925
.agents/scripts/agents-bootstrap.py,150.0,184.5,996.0,6.0,1107.0,27675.0,191088.9776
.agents/skills/writing-skills/scripts/run_grader.py,87.0,391.0,261.0,1.0,391.0,34017.0,189418.375
.agents/skills/writing-skills/scripts/run_loop.py,53.0,474.0,342.0,1.0,474.0,25122.0,146655.4643
.agents/scripts/agents-new.py,142.0,139.25,580.0,8.0,1114.0,19773.5,125853.3991
.agents/scripts/agents-wb-update.py,142.0,134.1667,607.0,6.0,805.0,19051.6714,122124.5455
.agents/scripts/agents-tools.py,132.0,149.2,465.0,5.0,746.0,19694.4,121006.0496
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-doctor.py,62.0,344.0,247.0,1.0,344.0,21328.0,117590.4083
.agents/skills/writing-skills/scripts/skill-files.js,62.0,333.0,265.0,1.0,333.0,20646.0,115276.8648
.agents/skills/writing-skills/scripts/skill-read.js,55.0,339.0,263.0,1.0,339.0,18645.0,103963.571
.agents/scripts/agents-knowledge.py,63.0,286.0,236.0,1.0,286.0,18018.0,98523.5076
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-bootstrap.py,59.0,292.0,237.0,1.0,292.0,17228.0,94276.2792
.agents/scripts/agents-doctor.py,109.0,133.7143,545.0,7.0,936.0,14574.8587,91859.781
.agents/scripts/agents-repo-map.py,85.0,180.0,318.0,1.0,180.0,15300.0,88207.4239
.agents/scripts/agents-structure-map.py,85.0,161.0,377.0,4.0,644.0,13685.0,81219.0271
.agents/skills/writing-skills/eval-viewer/generate_review.py,27.0,486.0,432.0,1.0,486.0,13122.0,79660.2205
.agents/scripts/tests/test_agents_skills_sync.py,73.0,150.0,712.0,2.0,300.0,10950.0,71935.8216
.agents/scripts/agents-update/swap.py,47.0,298.0,166.0,1.0,298.0,14006.0,71682.6213
.agents/scripts/agents-update/agents-update.py,73.0,159.4,462.0,5.0,797.0,11636.2,71419.8195
.agents/scripts/agents-patterns.py,81.0,148.5,289.0,4.0,594.0,12028.5,68200.1627
.agents/scripts/agents-update/conflict.py,55.0,213.5,297.0,2.0,427.0,11742.5,66898.1203
.agents/scripts/check-links.py,65.0,173.3333,256.0,3.0,520.0,11266.6645,62519.5785
.agents/skills/typescript-skill/references/utility-types.ts,36.0,335.0,125.0,1.0,335.0,12060.0,58325.5598
.agents/skills/writing-skills/scripts/check-universal-skills-sync.js,55.0,177.0,327.0,2.0,354.0,9735.0,56394.9875
.agents/scripts/agents-lint-docs.py,105.0,86.1111,351.0,9.0,775.0,9041.6655,53016.9917
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-index.py,43.0,233.0,163.0,1.0,233.0,10019.0,51095.5617
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/verify-tasks.py,37.0,264.0,184.0,1.0,264.0,9768.0,50992.4357
.agents/scripts/agents-update/backup.py,42.0,204.5,267.0,2.0,409.0,8589.0,48020.9872
.agents/scripts/agents-update/ownership.py,32.0,271.0,178.0,1.0,271.0,8672.0,44985.0097
.agents/skills/writing-skills/scripts/aggregate_benchmark.py,35.0,245.0,175.0,1.0,245.0,8575.0,44336.9003
.agents/scripts/agents-memory.py,23.0,330.0,282.0,1.0,330.0,7590.0,42848.942
.agents/scripts/agents-revert.py,39.0,212.0,163.0,1.0,212.0,8268.0,42165.6956
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/agents-new.py,29.0,256.0,176.0,1.0,256.0,7424.0,38427.7356
.agents/.cache/upstream/snapshot-origin-main/.agents/scripts/sync-agent-docs.py,32.0,227.0,147.0,1.0,227.0,7264.0,36299.75
.agents/scripts/agents-update/manifest.py,42.0,155.5,206.0,2.0,311.0,6531.0,34827.9864
.agents/skills/writing-skills/scripts/sync-skill.sh,28.0,234.0,171.0,1.0,234.0,6552.0,33726.3838
.agents/scripts/agents-update/upstream.py,49.0,124.0,207.0,3.0,372.0,6076.0,32430.8814
